experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260625_154215,2026-06-25T06:42:15.238536Z,skeleton,RX3,5.656854,10.0,13.038405,15.811388,16.643317,17.492856,17.492856,16.124515,14.764823,13.416408,11.661904,8.944272,7.615773,4.472136,2.236068,1.414214,3.605551,7.211103,10.0,12.206556,14.422205,15.811388,17.204651,16.401219,15.620499,14.21267,14.035669,15.0,16.03122,15.132746,14.142136,11.18034,9.219544,6.082763,2.0,1.414214,4.472136,6.708204,8.944272,11.18034,13.416408,14.764823,15.652476,17.464249,17.464249,17.464249,17.464249,16.155494,14.866069,11.7047,8.246211,3.162278
20260625_154215,2026-06-25T06:42:15.294718Z,skeleton,RX1,6.082763,5.0,6.082763,10.816654,13.601471,17.029386,19.104973,21.931712,21.931712,21.931712,22.022716,20.615528,19.209373,17.029386,13.601471,9.219544,5.0,2.828427,8.0,14.035669,21.095023,26.019224,30.0,33.060551,34.132096,33.54102,6.403124,6.708204,7.615773,8.246211,8.0,9.055385,10.198039,10.198039,9.219544,8.544004,7.28011,5.385165,4.123106,1.414214,1.414214,4.123106,7.071068,9.055385,11.18034,14.142136,15.132746,17.262677,18.248288,18.439089,16.278821,14.142136
20260625_154215,2026-06-25T06:42:15.298193Z,skeleton,RX2,23.537205,20.615528,20.615528,16.278821,13.152946,9.219544,5.09902,1.0,3.162278,6.324555,9.219544,12.165525,14.317821,17.262677,19.235384,21.213203,22.090722,22.090722,21.023796,19.0,16.03122,12.041595,7.071068,2.236068,2.0,7.28011,9.486833,7.071068,3.162278,5.0,8.544004,13.416408,16.552945,19.697716,21.023796,21.540659,21.540659,20.615528,19.313208,17.088007,14.866069,11.7047,8.944272,5.830952,3.605551,2.828427,6.082763,9.0,12.041595,16.124515,19.416488,21.587033
20260625_154215,2026-06-25T06:42:15.330764Z,skeleton,RX3,25.179357,23.194827,19.104973,15.132746,11.045361,7.0,3.0,1.414214,4.472136,7.28011,10.198039,12.165525,14.142136,16.124515,17.117243,18.248288,18.248288,17.262677,16.278821,14.317821,11.401754,8.246211,4.472136,1.414214,3.162278,5.0,2.0,1.414214,4.123106,8.062258,12.041595,15.0,17.0,19.026298,19.026298,19.104973,18.11077,17.029386,14.142136,12.041595,10.049876,8.0,5.0,2.236068,2.236068,6.324555,9.219544,14.142136,18.248288,21.213203,24.186773,26.172505
20260625_154215,2026-06-25T06:42:15.359044Z,skeleton,RX1,5.385165,3.162278,5.656854,8.602325,13.038405,15.264338,18.867962,19.723083,19.723083,20.248457,20.248457,18.601075,17.204651,15.0,11.661904,8.062258,5.0,4.472136,8.062258,14.56022,19.924859,25.96151,29.832868,32.557641,33.24154,32.062439,6.324555,6.082763,7.071068,7.615773,8.544004,8.062258,8.602325,9.219544,9.219544,8.485281,7.81025,5.656854,3.605551,2.0,2.236068,4.123106,6.0,8.0,12.041595,14.035669,16.03122,17.029386,17.029386,17.0,15.033296,13.0
20260625_154215,2026-06-25T06:42:15.388195Z,skeleton,RX2,21.931712,21.931712,19.849433,17.029386,14.21267,10.0,6.403124,2.236068,1.414214,4.242641,7.81025,10.630146,12.806248,15.620499,17.204651,18.867962,20.248457,20.59126,20.124612,17.888544,14.866069,10.77033,7.28011,2.0,3.162278,7.071068,9.848858,6.708204,3.605551,4.242641,8.062258,12.529964,16.124515,18.35756,19.723083,20.59126,20.248457,18.867962,17.204651,15.264338,13.892444,11.18034,8.544004,6.082763,4.123106,3.162278,6.324555,8.944272,12.206556,15.811388,19.209373,20.615528
20260625_154215,2026-06-25T06:42:15.419312Z,skeleton,RX3,26.07681,22.472205,20.248457,15.264338,10.816654,5.830952,3.162278,2.236068,5.656854,7.81025,10.816654,13.038405,15.0,16.643317,18.027756,18.867962,18.867962,18.027756,16.643317,14.422205,12.206556,8.602325,5.0,2.236068,2.236068,5.385165,2.236068,2.0,5.09902,9.219544,12.649111,16.155494,18.384776,19.697716,20.124612,19.235384,18.35756,17.0,14.764823,13.416408,11.18034,7.615773,5.09902,2.0,2.236068,5.656854,10.0,14.422205,18.027756,21.633308,24.698178,26.925824
20260625_154215,2026-06-25T06:42:15.448058Z,skeleton,RX1,19.646883,19.646883,19.646883,18.681542,16.763055,13.601471,10.440307,8.246211,5.0,2.236068,4.123106,6.403124,10.0,12.806248,16.401219,19.209373,22.203603,23.323808,24.186773,23.259407,21.023796,18.384776,13.928388,9.486833,5.0,2.236068,5.09902,6.0,6.0,6.0,6.082763,5.09902,4.472136,3.605551,3.162278,3.0,5.09902,6.324555,6.708204,6.708204,8.062258,7.615773,6.708204,5.830952,5.830952,2.828427,2.0,3.605551,6.324555,9.486833,13.341664,16.492423
20260625_154215,2026-06-25T06:42:15.479339Z,skeleton,RX2,23.345235,23.345235,21.377558,19.104973,15.132746,11.045361,7.0,4.123106,4.0,7.0,10.0,12.041595,14.035669,18.027756,19.104973,20.099751,20.396078,20.615528,18.973666,16.155494,12.083046,7.211103,2.828427,3.0,6.708204,10.0,7.0,4.472136,4.0,7.615773,11.401754,15.0,18.027756,19.416488,20.248457,19.723083,19.235384,17.492856,15.264338,13.038405,10.816654,9.219544,6.403124,4.123106,3.605551,6.324555,10.049876,13.0,16.03122,19.235384,22.203603,19.608301500000003
20260625_154215,2026-06-25T06:42:15.512107Z,skeleton,RX3,25.553865,23.323808,20.248457,16.124515,11.661904,8.062258,3.162278,3.605551,5.830952,8.602325,10.816654,13.038405,13.892444,16.124515,16.124515,16.124515,16.124515,15.264338,13.038405,10.816654,7.211103,4.242641,1.0,3.162278,5.830952,3.605551,1.0,4.123106,7.071068,11.18034,13.341664,15.811388,17.088007,18.384776,17.464249,16.552945,15.231546,13.0,10.77033,8.544004,6.082763,3.0,1.414214,3.605551,7.071068,11.401754,15.264338,18.867962,22.472205,25.553865,26.41969,14.8771255
