experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260625_144150,2026-06-25T05:41:50.326963Z,skeleton,RX2,5.0,8.602325,11.661904,14.764823,15.652476,17.0,16.124515,16.124515,15.264338,13.038405,12.206556,10.0,7.81025,6.403124,3.605551,2.0,3.0,5.385165,8.944272,12.529964,15.264338,18.35756,19.723083,20.59126,20.124612,18.384776,14.866069,15.620499,17.029386,17.804494,17.804494,15.620499,14.21267,11.401754,8.485281,5.656854,2.828427,1.414214,3.162278,6.324555,7.615773,9.848858,11.7047,13.416408,14.317821,15.652476,15.231546,14.317821,13.0,10.77033,7.28011,4.0
20260625_144150,2026-06-25T05:41:50.356790Z,skeleton,RX3,6.0,11.045361,15.033296,18.027756,19.026298,20.024984,20.024984,19.104973,18.11077,16.124515,15.297059,12.165525,10.198039,7.28011,4.123106,1.0,2.236068,5.385165,9.486833,12.369317,15.524175,16.492423,17.464249,17.464249,17.262677,15.132746,16.0,17.029386,18.11077,18.248288,16.278821,14.317821,11.401754,8.246211,4.123106,1.0,3.162278,5.385165,8.544004,10.440307,12.369317,14.317821,15.297059,17.262677,18.248288,18.248288,18.11077,17.117243,15.033296,12.041595,8.0,3.0
20260625_144150,2026-06-25T05:41:50.386752Z,skeleton,RX1,25.0,24.413111,23.853721,19.723083,16.124515,12.529964,8.062258,4.242641,2.0,4.123106,7.071068,10.0,13.0,16.0,19.026298,21.023796,22.090722,23.194827,23.345235,21.587033,19.646883,15.524175,11.401754,6.082763,3.605551,5.09902,5.385165,6.324555,5.09902,5.0,5.385165,5.656854,6.403124,6.708204,8.544004,9.219544,10.198039,11.18034,11.045361,11.045361,11.045361,10.049876,9.055385,7.071068,6.0,3.162278,3.0,6.403124,10.630146,14.142136,18.384776,21.260292
20260625_144150,2026-06-25T05:41:50.416982Z,skeleton,RX2,24.083189,22.671568,19.104973,16.278821,10.630146,6.403124,2.236068,1.414214,4.242641,7.81025,10.630146,12.806248,14.422205,15.811388,18.35756,19.723083,20.59126,20.59126,19.723083,17.492856,14.764823,10.816654,5.830952,1.0,3.605551,8.062258,8.246211,5.09902,2.236068,3.162278,7.211103,10.0,13.453624,16.278821,17.691806,19.104973,19.104973,17.691806,17.029386,15.620499,12.806248,10.630146,8.602325,5.385165,2.0,3.0,6.708204,11.661904,15.811388,20.615528,23.430749,24.839485
20260625_144150,2026-06-25T05:41:50.451471Z,skeleton,RX3,26.172505,24.186773,21.095023,17.117243,12.041595,8.062258,4.123106,3.162278,6.082763,9.219544,11.18034,13.152946,15.297059,17.464249,17.464249,18.439089,17.464249,16.278821,14.317821,12.165525,8.062258,5.0,1.414214,2.828427,6.324555,4.242641,2.0,4.123106,7.071068,11.18034,13.601471,15.811388,18.027756,18.384776,18.384776,17.464249,16.155494,13.928388,11.7047,9.486833,6.324555,4.0,1.414214,2.828427,6.324555,10.440307,14.56022,18.439089,21.377558,25.317978,26.305893,14.700379
20260625_144150,2026-06-25T05:41:50.478702Z,skeleton,RX1,3.162278,6.324555,10.198039,14.035669,16.278821,18.248288,19.235384,19.416488,19.235384,18.439089,17.262677,15.297059,14.317821,11.18034,9.055385,6.082763,3.605551,5.0,8.544004,12.529964,16.552945,20.124612,21.931712,22.472205,22.135944,20.615528,6.324555,7.28011,9.219544,9.055385,10.049876,9.0,10.0,9.0,8.0,7.071068,5.09902,3.162278,2.236068,3.162278,5.0,6.403124,8.602325,11.401754,13.453624,15.556349,16.278821,17.691806,17.029386,15.620499,12.806248,9.219544
20260625_144150,2026-06-25T05:41:50.506887Z,skeleton,RX2,23.259407,22.36068,18.788294,15.231546,10.77033,6.708204,3.0,1.0,4.242641,7.81025,10.0,12.041595,14.142136,15.556349,17.691806,19.104973,19.849433,19.849433,19.849433,17.029386,14.866069,11.401754,6.403124,1.414214,3.605551,7.81025,8.062258,5.0,1.414214,2.236068,6.708204,9.848858,13.0,15.231546,17.464249,18.384776,18.384776,17.464249,16.155494,14.866069,13.0,10.77033,7.615773,5.385165,1.0,2.828427,7.211103,11.661904,15.652476,19.235384,22.36068,24.596748
20260625_144150,2026-06-25T05:41:50.539223Z,skeleton,RX3,25.942244,24.596748,21.470911,17.0,13.038405,9.433981,4.472136,1.0,2.828427,5.656854,8.485281,10.630146,12.727922,14.866069,16.278821,17.029386,17.029386,17.029386,15.620499,14.21267,12.041595,8.485281,5.0,2.236068,4.0,6.324555,4.123106,2.0,3.605551,7.28011,10.198039,14.035669,16.03122,17.0,18.0,18.0,17.0,15.0,13.038405,12.041595,9.055385,7.071068,4.0,1.0,2.236068,6.324555,10.440307,14.866069,18.384776,21.540659,25.079872,26.400758
20260625_144150,2026-06-25T05:41:50.567217Z,skeleton,RX1,22.472205,23.021729,20.808652,18.601075,15.0,11.401754,8.062258,5.09902,3.605551,5.385165,8.0,10.049876,13.152946,16.124515,18.11077,20.099751,22.090722,22.0,22.022716,21.095023,19.104973,15.132746,11.045361,7.0,3.162278,3.0,6.0,6.0,6.082763,5.385165,5.0,5.0,5.385165,5.09902,7.0,8.062258,8.062258,9.219544,9.219544,9.219544,9.219544,8.246211,7.071068,6.324555,4.123106,1.414214,2.828427,5.385165,9.848858,13.928388,17.464249,20.124612
20260625_144150,2026-06-25T05:41:50.598121Z,skeleton,RX2,24.041631,22.135944,18.973666,14.866069,10.77033,6.708204,2.828427,2.236068,5.09902,8.062258,11.045361,13.152946,15.297059,17.464249,19.646883,20.880613,21.18962,21.18962,20.248457,18.384776,15.231546,10.77033,6.708204,2.0,3.162278,7.615773,8.602325,5.656854,2.236068,2.236068,5.830952,10.0,13.601471,15.811388,18.027756,19.416488,19.416488,18.601075,17.204651,15.811388,13.601471,11.401754,8.602325,5.656854,2.236068,3.0,7.28011,11.401754,16.763055,19.924859,23.086793,24.351591
20260625_144150,2026-06-25T05:41:50.627587Z,skeleton,RX3,25.079872,22.847319,19.697716,15.231546,12.083046,7.615773,3.162278,1.0,4.123106,7.071068,10.198039,12.165525,14.142136,16.124515,17.117243,18.11077,18.11077,18.11077,17.117243,15.132746,12.165525,9.219544,5.385165,2.236068,2.236068,5.09902,4.123106,2.828427,5.0,8.246211,11.7047,14.764823,16.643317,18.027756,18.027756,18.027756,17.204651,15.811388,13.892444,11.661904,9.848858,6.708204,4.123106,2.0,2.236068,5.656854,9.433981,13.892444,17.0,21.023796,24.166092,25.079872
