experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260625_123522,2026-06-25T03:35:22.579352Z,skeleton,RX1,6.324555,2.828427,3.162278,5.0,7.615773,10.440307,12.369317,13.152946,14.142136,14.142136,14.142136,14.142136,13.152946,12.165525,10.440307,8.544004,5.830952,2.236068,3.162278,7.071068,11.7047,16.124515,19.416488,22.022716,22.627417,22.022716,18.867962,21.095023,23.853721,24.698178,24.698178,22.472205,20.808652,18.601075,15.620499,12.727922,9.219544,6.708204,5.0,5.0,5.830952,8.246211,10.049876,13.038405,15.0,17.0,18.0,19.0,19.026298,17.029386,15.033296,12.041595
20260625_123522,2026-06-25T03:35:22.609018Z,skeleton,RX2,3.162278,2.236068,5.385165,9.219544,12.165525,14.317821,16.278821,16.278821,17.262677,16.278821,15.132746,13.038405,12.0,9.055385,6.708204,5.0,6.082763,8.602325,12.727922,15.0,18.867962,20.59126,21.470911,21.931712,20.615528,18.973666,11.661904,13.601471,15.0,15.620499,15.556349,14.142136,12.806248,10.816654,8.062258,6.082763,4.123106,2.828427,4.0,5.385165,7.211103,9.219544,10.630146,12.206556,13.416408,15.231546,16.763055,16.763055,16.278821,15.297059,14.142136,11.18034
20260625_123522,2026-06-25T03:35:22.639272Z,skeleton,RX3,14.142136,14.866069,16.278821,17.029386,17.691806,16.970563,15.620499,13.601471,12.206556,10.29563,8.062258,6.708204,5.0,3.162278,4.123106,6.403124,10.0,12.806248,16.401219,18.601075,20.59126,21.470911,21.931712,20.248457,17.720045,14.317821,7.071068,8.062258,9.219544,10.198039,11.401754,11.7047,11.18034,11.18034,10.816654,10.0,9.219544,9.433981,8.944272,8.944272,9.486833,10.440307,10.440307,11.18034,11.18034,12.165525,12.165525,12.041595,11.0,11.045361,11.401754,11.661904
20260625_123522,2026-06-25T03:35:22.672204Z,skeleton,RX1,6.082763,2.236068,3.605551,7.071068,10.630146,12.206556,15.0,16.401219,17.204651,17.804494,17.029386,17.029386,16.278821,14.142136,12.727922,10.0,7.211103,3.162278,2.0,5.656854,10.0,14.422205,17.888544,20.248457,20.880613,20.396078,18.439089,20.396078,22.203603,22.203603,23.194827,21.095023,20.024984,18.0,15.033296,13.038405,10.198039,7.28011,4.472136,3.162278,3.605551,5.656854,7.211103,10.29563,13.0,15.231546,17.088007,18.027756,18.384776,17.464249,16.155494,13.601471
20260625_123522,2026-06-25T03:35:22.699055Z,skeleton,RX2,24.207437,23.600847,22.203603,20.808652,16.401219,12.806248,9.219544,5.830952,4.472136,6.708204,10.198039,13.152946,17.029386,20.0,22.0,24.020824,25.079872,25.179357,23.345235,21.377558,17.720045,14.317821,10.0,6.708204,6.324555,8.485281,8.062258,7.071068,5.385165,5.385165,7.211103,9.486833,12.165525,15.033296,17.0,17.029386,17.117243,17.262677,15.524175,14.866069,13.416408,13.038405,10.0,8.485281,6.403124,3.162278,2.236068,5.09902,9.433981,13.453624,16.970563,20.518285
20260625_123522,2026-06-25T03:35:22.729598Z,skeleton,RX3,18.681542,16.492423,13.601471,12.165525,9.0,8.544004,9.433981,11.401754,12.806248,14.422205,16.124515,17.888544,18.027756,19.646883,21.213203,20.0,20.099751,18.248288,15.297059,12.369317,8.062258,5.385165,6.324555,10.049876,14.0,17.029386,11.18034,12.369317,12.369317,11.7047,12.083046,12.206556,12.041595,12.041595,12.806248,13.601471,13.601471,13.038405,12.206556,11.661904,10.816654,11.661904,11.18034,10.77033,11.401754,12.369317,13.152946,15.132746,17.117243,19.235384,20.396078,20.396078
20260625_123522,2026-06-25T03:35:22.759110Z,skeleton,RX1,20.615528,21.18962,21.18962,18.027756,16.763055,13.601471,10.440307,7.28011,4.123106,1.0,2.236068,5.385165,8.246211,12.369317,14.317821,17.262677,20.223748,22.090722,23.0,22.022716,21.213203,18.439089,15.811388,11.18034,7.071068,3.162278,14.035669,12.165525,10.77033,9.219544,9.433981,9.219544,11.0,12.369317,13.601471,15.231546,15.652476,16.124515,15.264338,15.264338,14.422205,13.601471,12.206556,10.0,9.219544,5.656854,2.236068,2.0,5.385165,10.440307,13.928388,17.088007
20260625_123522,2026-06-25T03:35:22.789611Z,skeleton,RX2,23.853721,24.186773,22.825424,20.59126,17.0,13.038405,9.219544,5.830952,4.123106,5.830952,9.486833,13.152946,16.124515,19.026298,22.022716,24.0,25.019992,25.079872,24.186773,21.377558,17.720045,13.928388,10.0,6.708204,6.324555,7.81025,7.81025,6.403124,5.09902,5.0,6.708204,10.198039,13.038405,15.0,17.117243,17.262677,17.464249,17.720045,16.155494,14.764823,13.892444,12.041595,9.899495,8.602325,6.708204,3.0,3.162278,5.385165,9.433981,13.453624,17.029386,20.0
20260625_123522,2026-06-25T03:35:22.819109Z,skeleton,RX3,12.727922,14.866069,15.620499,16.278821,15.556349,15.556349,14.21267,12.206556,11.661904,9.848858,7.615773,5.385165,3.605551,3.162278,4.123106,7.211103,10.0,13.601471,16.643317,19.235384,21.023796,22.472205,21.84033,20.615528,18.248288,15.132746,7.28011,8.062258,9.0,11.18034,11.18034,11.401754,11.7047,10.77033,10.29563,10.0,9.219544,9.219544,8.602325,8.944272,8.544004,9.486833,9.486833,10.440307,10.198039,11.18034,11.18034,11.045361,11.045361,10.049876,10.440307,11.18034
20260625_123522,2026-06-25T03:35:22.848717Z,skeleton,RX1,5.385165,2.236068,3.162278,6.403124,10.0,12.041595,13.453624,14.866069,16.278821,16.970563,16.278821,15.620499,14.21267,13.453624,11.401754,8.944272,6.708204,3.0,3.0,7.211103,10.630146,14.422205,17.888544,20.615528,21.18962,20.615528,17.0,18.788294,21.023796,21.023796,21.931712,20.615528,18.973666,16.763055,14.56022,12.369317,9.219544,6.0,4.123106,2.236068,3.162278,5.656854,8.602325,10.816654,13.601471,15.264338,16.643317,18.35756,18.867962,18.027756,15.264338,13.038405
20260625_123522,2026-06-25T03:35:22.879116Z,skeleton,RX2,2.236068,3.162278,7.071068,10.630146,12.806248,15.620499,17.029386,18.439089,18.439089,17.804494,16.401219,15.0,13.038405,10.29563,7.28011,5.09902,5.0,8.062258,11.7047,15.231546,17.492856,20.248457,20.808652,20.615528,19.849433,17.691806,12.083046,13.928388,14.866069,15.524175,16.492423,15.297059,13.152946,11.0,9.055385,6.324555,4.242641,4.123106,5.385165,6.403124,7.81025,8.944272,10.440307,12.369317,14.142136,15.0,16.03122,16.124515,16.278821,15.297059,13.341664,9.219544
20260625_123522,2026-06-25T03:35:22.909294Z,skeleton,RX3,18.11077,16.03122,14.035669,11.18034,9.486833,7.211103,8.485281,9.433981,11.661904,13.038405,15.0,16.278821,17.691806,19.416488,20.124612,20.615528,19.646883,18.248288,15.132746,12.041595,8.062258,5.0,5.0,8.944272,13.416408,15.652476,13.038405,13.038405,13.601471,13.453624,14.142136,13.601471,13.038405,13.416408,13.928388,13.928388,13.601471,13.601471,13.601471,12.369317,11.401754,11.18034,11.18034,11.045361,12.0,12.041595,14.142136,15.297059,17.464249,19.416488,20.223748,20.223748
20260625_123522,2026-06-25T03:35:22.939093Z,skeleton,RX1,24.207437,24.839485,23.430749,22.022716,19.209373,16.401219,12.806248,9.219544,5.656854,2.236068,1.414214,4.242641,8.485281,11.313708,15.556349,18.439089,21.400935,23.021729,23.323808,23.706539,22.847319,19.924859,16.278821,12.0,7.28011,4.472136,16.155494,13.416408,11.401754,10.0,9.219544,9.055385,11.18034,12.806248,14.142136,14.866069,16.401219,16.643317,15.264338,15.264338,13.892444,13.416408,11.18034,9.848858,7.615773,4.123106,1.414214,3.605551,8.602325,12.806248,16.401219,20.0
20260625_123522,2026-06-25T03:35:22.969070Z,skeleton,RX2,25.0,25.0,23.021729,21.023796,18.0,14.0,10.198039,6.708204,5.385165,7.28011,9.433981,13.453624,16.278821,19.104973,22.022716,23.600847,24.413111,24.698178,22.825424,21.023796,17.088007,13.341664,9.0,5.830952,5.09902,7.615773,8.544004,7.071068,5.385165,5.0,7.0,9.219544,12.083046,13.892444,15.811388,16.278821,16.278821,15.620499,15.0,13.892444,12.083046,10.440307,9.219544,7.0,5.385165,3.605551,4.472136,6.403124,10.77033,14.56022,18.248288,21.095023
