experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260624_175550,2026-06-24T17:55:50.718745+09:00,skeleton,RX2,23.769729,21.84033,18.973666,15.297059,12.041595,9.219544,9.433981,9.219544,11.401754,13.038405,14.422205,15.811388,17.204651,17.804494,17.691806,18.384776,17.691806,15.556349,13.453624,10.29563,8.246211,8.544004,10.630146,13.453624,16.401219,18.601075,3.162278,6.082763,8.944272,12.083046,14.764823,17.0,18.788294,18.384776,18.681542,17.464249,16.124515,14.035669,12.0,10.049876,7.0,5.0,3.162278,3.162278,6.082763,9.219544,13.152946,16.124515,20.0,23.021729,25.179357,26.305893
20260624_175550,2026-06-24T17:55:50.744390+09:00,skeleton,RX3,15.297059,17.117243,19.0,19.026298,19.104973,18.248288,16.492423,14.866069,13.0,11.18034,8.062258,5.385165,3.0,2.236068,5.09902,8.544004,12.083046,15.231546,17.464249,19.697716,21.540659,21.18962,20.248457,18.027756,14.56022,11.7047,13.892444,12.806248,12.041595,10.816654,8.246211,7.071068,7.81025,9.433981,11.7047,12.649111,14.317821,15.297059,15.297059,15.297059,14.317821,14.56022,13.601471,11.7047,10.77033,8.944272,6.708204,3.162278,1.0,3.162278,6.324555,9.486833
20260624_175550,2026-06-24T17:55:50.776223+09:00,skeleton,RX1,26.172505,25.079872,22.022716,18.027756,13.038405,9.055385,4.472136,3.162278,5.385165,8.602325,11.401754,13.601471,16.124515,18.35756,18.788294,20.248457,19.924859,18.973666,16.492423,13.341664,10.198039,6.082763,1.414214,3.605551,7.615773,10.77033,8.062258,6.708204,5.385165,3.162278,3.605551,6.0,9.055385,11.18034,12.165525,13.152946,14.142136,14.035669,13.038405,12.0,11.0,10.0,8.062258,6.082763,5.0,6.324555,8.0,13.152946,16.278821,20.615528,24.515301,26.476405
20260624_175550,2026-06-24T17:55:50.802697+09:00,skeleton,RX2,24.041631,23.345235,19.104973,15.556349,12.206556,8.944272,8.0,8.544004,10.29563,12.206556,14.422205,15.264338,16.124515,17.888544,18.384776,17.464249,18.384776,16.155494,13.416408,10.816654,7.81025,8.062258,9.486833,12.206556,15.620499,17.691806,4.242641,6.324555,9.219544,13.152946,16.124515,17.262677,19.416488,19.646883,18.973666,18.384776,17.0,15.264338,12.206556,10.0,7.81025,5.0,3.162278,2.828427,5.385165,8.544004,13.0,16.552945,20.124612,23.323808,25.806976,25.612497
20260624_175550,2026-06-24T17:55:50.834442+09:00,skeleton,RX3,13.892444,11.661904,8.944272,4.472136,2.236068,2.236068,5.09902,7.28011,9.486833,11.7047,13.416408,14.764823,15.811388,16.401219,16.278821,15.556349,14.142136,12.727922,9.219544,5.656854,2.236068,3.162278,6.082763,10.198039,12.369317,14.317821,13.601471,15.652476,18.027756,20.0,21.260292,20.518285,20.518285,19.104973,17.029386,14.21267,10.816654,8.062258,6.082763,4.123106,5.0,6.708204,8.246211,10.440307,12.369317,14.866069,16.155494,17.888544,18.867962,19.416488,19.849433,17.691806
20260624_175550,2026-06-24T17:55:50.862457+09:00,skeleton,RX1,6.708204,10.198039,13.152946,16.278821,17.262677,18.248288,17.464249,16.492423,15.811388,13.928388,11.7047,9.848858,6.324555,4.123106,2.236068,3.162278,6.708204,10.29563,13.892444,16.124515,19.235384,20.124612,21.023796,20.124612,17.464249,15.231546,9.055385,11.045361,13.038405,14.142136,14.142136,14.035669,12.041595,10.049876,8.246211,6.324555,5.0,3.162278,4.123106,5.385165,7.211103,9.433981,10.816654,13.038405,13.601471,15.264338,15.264338,14.764823,13.892444,11.661904,8.602325,5.830952
20260624_175550,2026-06-24T17:55:50.894358+09:00,skeleton,RX2,9.219544,12.041595,14.866069,15.620499,16.278821,16.278821,15.556349,14.21267,12.806248,10.630146,9.219544,6.403124,5.385165,5.0,6.324555,8.602325,11.401754,14.142136,16.278821,19.104973,19.104973,19.79899,19.104973,17.691806,14.866069,12.206556,17.088007,17.464249,17.088007,15.811388,13.601471,10.77033,7.615773,5.0,3.162278,3.605551,5.830952,8.602325,10.0,12.206556,13.453624,14.142136,15.620499,16.401219,16.643317,16.124515,15.231546,13.928388,11.7047,8.944272,6.708204,5.09902
20260624_175550,2026-06-24T17:55:50.924778+09:00,skeleton,RX3,14.142136,17.029386,18.0,19.104973,18.248288,18.681542,16.763055,15.231546,13.0,11.18034,8.944272,5.385165,4.0,2.828427,5.0,8.062258,12.165525,15.524175,18.681542,20.615528,21.587033,22.561028,21.377558,19.416488,17.262677,13.341664,15.231546,14.422205,12.806248,10.630146,8.944272,8.062258,7.615773,8.485281,10.816654,12.083046,12.649111,13.601471,13.601471,13.601471,13.601471,13.0,12.083046,11.18034,9.433981,7.81025,5.656854,2.828427,2.828427,5.830952,8.544004
20260624_175550,2026-06-24T17:55:50.952344+09:00,skeleton,RX1,25.495098,24.207437,20.615528,16.401219,11.401754,7.81025,3.605551,2.828427,6.082763,9.0,12.041595,14.035669,16.124515,17.262677,19.646883,18.973666,20.248457,18.027756,16.155494,13.416408,8.944272,4.472136,1.414214,5.0,7.81025,10.630146,8.944272,6.708204,5.09902,3.162278,3.162278,6.324555,9.486833,11.18034,13.0,14.317821,14.317821,13.928388,13.928388,12.649111,10.440307,9.486833,7.615773,5.830952,4.472136,5.09902,8.062258,12.206556,16.970563,20.518285,24.083189,26.172505
20260624_175550,2026-06-24T17:55:50.982845+09:00,skeleton,RX2,22.472205,21.023796,17.464249,13.928388,9.486833,7.071068,5.830952,7.211103,8.944272,10.77033,13.0,14.317821,15.652476,16.124515,17.492856,16.643317,15.811388,14.422205,12.529964,9.486833,7.0,7.211103,9.848858,12.369317,15.297059,17.117243,4.242641,6.324555,10.049876,13.0,16.0,18.0,20.024984,20.099751,20.223748,19.416488,17.720045,15.811388,13.0,11.18034,8.062258,5.830952,3.162278,2.236068,4.0,8.0,11.0,15.033296,19.104973,21.377558,23.769729,25.0
