experiment_id,timestamp,label,rx,sub_0,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51
20260624_183352,2026-06-24T18:33:52.845472+09:00,skeleton,RX1,21.84033,18.973666,15.524175,12.041595,11.18034,10.77033,10.816654,12.041595,12.727922,12.727922,14.142136,12.727922,12.727922,12.041595,11.401754,10.29563,10.77033,12.165525,13.038405,14.035669,15.0,16.0,15.0,14.0,12.041595,10.198039,3.0,3.605551,6.324555,9.848858,12.529964,15.811388,17.029386,17.691806,18.601075,17.492856,15.652476,14.317821,12.649111,10.77033,8.944272,7.211103,5.830952,7.071068,10.0,13.038405,16.124515,20.099751,23.021729,25.019992,27.073973,26.476405
20260624_183352,2026-06-24T18:33:52.870567+09:00,skeleton,RX2,10.440307,13.341664,16.278821,17.464249,18.439089,17.464249,16.492423,14.56022,13.601471,11.401754,9.219544,6.324555,3.162278,3.605551,6.708204,11.18034,14.317821,17.888544,20.615528,22.847319,23.769729,23.4094,21.18962,20.248457,17.088007,10.198039,11.18034,11.18034,11.401754,10.198039,8.246211,6.324555,3.162278,1.414214,2.0,4.0,6.082763,7.071068,8.062258,9.055385,10.049876,11.045361,12.041595,12.0,11.045361,11.045361,9.055385,7.0,4.0,3.162278
20260624_183352,2026-06-24T18:33:52.902395+09:00,skeleton,RX3,21.633308,19.416488,16.401219,12.806248,10.630146,8.944272,8.062258,8.062258,10.198039,11.401754,12.649111,13.601471,13.601471,14.317821,14.142136,14.142136,12.165525,11.045361,9.219544,6.324555,5.0,5.385165,7.0,9.055385,10.440307,11.401754,3.0,3.605551,7.28011,11.18034,14.317821,17.464249,18.973666,20.248457,21.023796,20.124612,18.867962,17.204651,15.0,12.806248,10.630146,8.602325,6.708204,5.0,6.708204,9.219544,12.727922,15.556349,18.384776,21.213203,22.671568,22.803509
20260624_183352,2026-06-24T18:33:52.936450+09:00,skeleton,RX1,19.313208,21.023796,21.470911,21.954498,20.808652,19.209373,15.620499,12.806248,10.816654,8.944272,8.246211,9.0,9.055385,10.198039,11.401754,12.649111,12.649111,12.649111,12.083046,11.661904,11.313708,12.206556,13.892444,16.124515,17.0,17.492856,13.0,13.892444,14.21267,13.453624,11.401754,9.433981,5.830952,4.242641,3.0,5.830952,8.062258,9.433981,11.18034,13.0,13.928388,14.56022,15.297059,16.124515,16.03122,15.0,14.0,12.0,10.198039,8.944272,10.0,12.083046
20260624_183352,2026-06-24T18:33:52.964378+09:00,skeleton,RX2,21.540659,18.027756,14.866069,9.486833,5.385165,4.123106,8.544004,12.083046,14.317821,17.464249,19.235384,21.470911,22.825424,23.706539,23.706539,23.706539,21.023796,17.888544,13.416408,8.944272,3.605551,3.0,8.062258,13.152946,16.278821,1.0,3.0,6.082763,9.219544,11.18034,14.317821,16.278821,17.262677,17.262677,17.117243,16.124515,14.142136,12.041595,9.055385,7.071068,4.123106,2.0,2.236068,4.472136,8.544004,11.7047,16.155494,19.313208,21.540659,23.4094,23.769729
20260624_183352,2026-06-24T18:33:52.995400+09:00,skeleton,RX3,13.038405,15.033296,17.029386,17.029386,18.027756,17.029386,16.0,14.0,13.0,11.0,9.0,7.071068,6.324555,6.403124,7.211103,8.944272,10.77033,12.649111,14.56022,14.866069,15.811388,15.231546,14.317821,12.529964,10.29563,8.062258,17.464249,18.027756,17.720045,18.439089,16.278821,14.142136,11.18034,8.246211,5.385165,3.162278,4.123106,5.830952,8.602325,10.0,12.206556,13.892444,15.231546,16.155494,16.763055,16.492423,16.278821,15.297059,13.341664,10.77033,10.0,9.433981
20260624_183352,2026-06-24T18:33:53.026292+09:00,skeleton,RX1,23.600847,19.416488,15.811388,12.083046,10.049876,9.219544,10.29563,11.401754,12.806248,13.453624,14.21267,14.21267,13.453624,12.727922,12.041595,12.206556,12.529964,12.649111,13.341664,14.142136,15.033296,15.0,15.033296,13.152946,12.165525,10.77033,1.0,2.828427,6.403124,10.0,13.416408,15.811388,17.464249,18.11077,18.0,17.117243,15.297059,13.601471,11.401754,9.486833,7.071068,5.09902,5.0,6.708204,9.219544,13.152946,16.278821,20.615528,24.041631,26.925824,27.730849,27.784888
20260624_183352,2026-06-24T18:33:53.050890+09:00,skeleton,RX2,22.022716,18.439089,15.0,10.0,5.830952,1.0,4.472136,7.211103,10.816654,13.601471,15.811388,18.027756,19.723083,21.095023,21.954498,22.825424,21.954498,19.723083,17.492856,12.529964,8.062258,3.162278,3.605551,8.485281,13.453624,16.278821,1.414214,2.0,5.09902,8.246211,10.440307,13.341664,15.524175,16.492423,15.524175,15.524175,14.317821,12.369317,10.440307,8.246211,6.324555,3.162278,1.0,1.414214,5.0,8.602325,12.206556,15.811388,18.601075,22.022716,24.207437,24.207437
20260624_183352,2026-06-24T18:33:53.081293+09:00,skeleton,RX3,12.041595,15.0,17.029386,17.029386,18.027756,17.029386,16.03122,15.0,12.0,11.045361,9.0,7.071068,6.324555,6.403124,5.830952,8.544004,9.486833,11.401754,13.341664,14.317821,14.56022,13.601471,12.649111,10.77033,8.944272,5.385165,19.646883,20.396078,20.396078,20.223748,18.11077,15.033296,11.045361,8.062258,5.385165,3.162278,5.385165,8.062258,10.29563,12.529964,13.416408,15.231546,16.155494,17.720045,18.681542,18.439089,17.262677,16.278821,14.317821,12.649111,10.816654,9.433981
20260624_183352,2026-06-24T18:33:53.112600+09:00,skeleton,RX1,17.204651,14.21267,12.041595,9.433981,9.486833,9.055385,10.049876,11.18034,12.165525,12.165525,12.369317,11.18034,11.18034,10.440307,10.77033,10.29563,10.816654,12.041595,12.727922,13.453624,14.21267,14.21267,13.601471,13.601471,11.661904,10.77033,1.0,2.828427,5.830952,8.062258,10.77033,12.369317,14.035669,14.0,14.142136,13.341664,11.7047,9.848858,8.544004,6.708204,5.09902,4.0,4.242641,5.830952,8.062258,11.18034,14.317821,16.643317,19.416488,20.615528,21.931712,21.260292
